school,slug,acceptance_rate,sat_total_25th_percentile,sat_total_75th_percentile,act_25th_percentile,act_75th_percentile,graduation_rate,public_or_private,student_to_faculty_ratio,campus_setting,enrollment,in_state_cost,out_state_cost,average_financial_aid,street_address,city,state,zip,phone,website,applicants,accepted,enrolled,percent_submitting_sat,percent_submitting_act,sat_critical_reading_25th_percentile,sat_critical_reading_75th_percentile,sat_math_25th_percentile,sat_math_75th_percentile,sat_writing_25th_percentile,sat_writing_75th_percentile,act_english_25th_percentile,act_english_75th_percentile,act_math_25th_percentile,act_math_75th_percentile_score,
Elon University,EU838,42%,1700,1970,25,29,78%,Private,15,Rural,5628," $37,225 "," $37,225 "," $7,704 ",100 Campus Drive,Elon,NC,27244-2010,3362782000,www.elon.edu,9434,3990,1291,100,41,560,650,570,660,570,660,,,,,
Emerson College,,42%,1690,1980,24,29,76%,Private,15,City,4536," $44,574 "," $44,574 "," $13,065 ",120 Boylston Street,Boston,MA,02116-4624,6178248500,www.emerson.edu,6943,2926,754,90,31,570,670,540,640,580,670,25,31,22,27,
Emmanuel College,,56%,1490,1750,20,24,62%,Private,14,City,2412," $44,400 "," $44,400 "," $14,736 ",400 The Fenway,Boston,MA,2115,6177359715,www.emmanuel.edu,5518,3100,424,97,20,510,590,480,570,500,590,,,,,
Emory and Henry College,,70%,1340,1690,18,25,55%,Private,11,Rural,1015," $36,080 "," $36,080 "," $15,132 ",1 Garnand Drive,Emory,VA,24327-0947,2769444121,www.ehc.edu,1328,932,291,73,26,450,570,460,570,430,550,16,25,18,25,
Emory University,,27%,1960,2240,30,33,87%,Private,7,Suburb,12755," $52,132 "," $52,132 "," $20,455 ",408 Administration Building  201 Dowman Drive,Atlanta,GA,30322,4047276123,www.emory.edu,17446,4644,1278,88,43,640,740,670,760,650,740,,,,,
Emporia State University,,87%,NR,NR,19,25,44%,Public,18,Town,6404," $15,372 "," $24,576 "," $2,421 ",1200 Commercial,Emporia,KS,66801-5087,6203411200,www.emporia.edu,1289,1125,681,0,88,,,,,0,0,18,25,18,25,
Endicott College,,49%,1500,1740,20,25,67%,Private,18,Suburb,3717," $40,212 "," $40,212 "," $8,097 ",376 Hale Street,Beverly,MA,1915,9789270585,www.endicott.edu,4032,1958,587,98,21,500,570,500,590,500,580,20,25,19,25,
Erskine College and Seminary,,70%,1440,1785,23,27,58%,Private,11,Rural,864," $37,870 "," $37,870 "," $14,479 ",2 Washington St,Due West,SC,29639,8643792131,www.erskine.edu,589,415,182,80,20,470,580,490,610,480,595,,,,,
Eureka College,,71%,NR,NR,19,24,51%,Private,13,Town,753," $26,330 "," $26,330 "," $8,160 ",300 E. College Ave.,Eureka,IL,61530,3094673721,www.eureka.edu,1049,747,143,0,100,,,,,0,0,19,25,18,25,
Fairfield University,FU143,59%,1600,1870,23,27,79%,Private,12,Suburb,5128," $51,560 "," $51,560 "," $18,536 ",1073 N Benson Rd,Fairfield,CT,06824-5195,2032544000,www.fairfield.edu,8732,5157,899,93,27,520,610,540,630,540,630,,,,,
Fairleigh Dickinson University-College at Florham,FDUF710,62%,1380,1680,NR,NR,55%,Private,15,Suburb,3465," $47,914 "," $47,914 "," $16,572 ",285 Madison Ave,Madison,NJ,7940,9734438500,www.fdu.edu,3496,2182,609,99,0,460,550,460,570,460,560,,,,,
Fairleigh Dickinson University-Metropolitan Campus,,61%,1270,1590,NR,NR,39%,Private,15,Suburb,8693," $45,642 "," $45,642 "," $19,481 ",1000 River Rd,Teaneck,NJ,7666,2016922000,www.fdu.edu,3954,2408,517,94,0,420,520,430,540,420,530,,,,,
Fairmont State University,,88%,1245,1605,18,23,48%,Public,19,Town,4547," $15,872 "," $21,604 "," $4,166 ",1201 Locust Ave,Fairmont,WV,26554-2470,3043674000,www.fairmontstate.edu/,3072,2690,771,21,88,410,530,420,540,415,535,17,22,18,23,
Farmingdale State College,,40%,1295,1570,NR,NR,15%,Public,18,Suburb,6850," $19,968 "," $27,868 "," $4,452 ",2350 Broadhollow Road,Farmingdale,NY,11735-1021,5164202000,WWW.FARMINGDALE.EDU,6365,2535,1511,88,0,430,525,445,545,420,500,,,,,
Fayetteville State University,,65%,1140,1380,15,19,38%,Public,16,City,6217," $13,398 "," $23,741 "," $6,414 ",1200 Murchison Rd,Fayetteville,NC,28301-4298,9106721111,www.uncfsu.edu,2361,1524,582,96,12,380,460,400,470,360,450,11,17,15,18,
Felician College,,72%,1140,1450,17,21,36%,Private,12,Suburb,2040," $38,740 "," $38,740 "," $11,714 ",262 S Main St,Lodi,NJ,7644,2015596000,www.felician.edu,1964,1422,258,95,9,380,480,380,490,380,480,,,,,
Ferris State University,,55%,NR,NR,18,24,40%,Public,18,Town,13532," $21,522 "," $28,812 "," $5,205 ",1201 S State St,Big Rapids,MI,49307-2251,2315912000,www.ferris.edu/,10597,5805,2006,0,98,,,,,0,0,17,23,17,24,
Ferrum College,,80%,1185,1485,16,21,31%,Private,18,Rural,1397," $33,660 "," $33,660 "," $12,543 ",215 Ferrum Mountain Road,Ferrum,VA,24088-9000,5403652121,www.ferrum.edu,2427,1932,532,87,12,390,500,400,490,395,495,,,,,
Finlandia University,,58%,NR,NR,NR,NR,35%,Private,11,Town,521," $28,940 "," $28,940 "," $7,545 ",601 Quincy St,Hancock,MI,49930-1832,9064825300,www.finlandia.edu,906,527,257,,,,,,,0,0,,,,,
Fitchburg State College,,64%,1350,1660,18,23,51%,Public,16,Suburb,6761," $17,420 "," $23,500 "," $5,322 ",160 Pearl St,Fitchburg,MA,01420-2697,9783452151,www.fsc.edu,3651,2354,775,96,10,440,550,460,560,450,550,,,,,
Flagler College,,44%,1530,1770,21,24,76%,Private,20,Suburb,2662," $25,340 "," $25,340 "," $6,263 ",74 King Street,Saint Augustine,FL,32084,9048296481,www.flagler.edu,2585,1149,564,71,56,520,590,510,590,500,590,21,26,20,24,
Florida Agricultural and Mechanical University,FAMU177,62%,1230,1500,17,21,41%,Public,16,City,11857," $15,336 "," $27,277 "," $7,636 ",,Tallahassee,FL,32307,8505993000,www.famu.edu,6634,4081,2164,70,72,410,500,410,500,410,500,15,21,16,21,
Florida Atlantic University,FAU178,46%,1440,1700,21,25,39%,Public,19,City,26839," $15,439 "," $26,116 "," $4,454 ",777 Glades Rd,Boca Raton,FL,33431-0991,5612973000,www.fau.edu/,14532,6745,2632,67,37,480,570,490,580,470,550,,,,,
Florida Gulf Coast University,FGCU179,65%,1410,1650,20,23,41%,Public,21,Suburb,10204," $16,679 "," $31,938 "," $4,393 ",10501 Fgcu Blvd S,Fort Myers,FL,33965-6565,2395901000,www.fgcu.edu,8298,5432,1993,90,66,470,550,480,560,460,540,19,23,19,24,
Florida Institute of Technology,,74%,1560,1905,23,28,59%,Private,15,City,6400," $46,350 "," $46,350 "," $17,165 ",150 West University Boulevard,Melbourne,FL,32901-6975,3216748000,www.fit.edu,3340,2477,539,71,39,500,610,540,660,520,635,21,28,23,29,
Florida International University,FIU180,37%,1510,1780,22,26,49%,Public,26,Suburb,38759," $21,654 "," $34,054 "," $4,209 ",11200 S. W. 8 Street,Miami,FL,33199,3053482000,www.fiu.edu,18151,6778,3147,77,23,510,600,500,590,500,590,21,26,22,26,
Florida Southern College,,69%,1410,1730,20,25,52%,Private,13,City,2319," $33,187 "," $33,187 "," $13,172 ",111 Lake Hollingsworth Dr,Lakeland,FL,33801-5698,8636804111,www.flsouthern.edu,2437,1692,553,83,63,470,580,470,580,470,570,20,26,19,25,
Florida State University,FSU181,61%,1665,1935,24,28,70%,Public,25,City,38682," $17,880 "," $32,325 "," $4,170 ",211 Westcott Bldg,Tallahassee,FL,32306-1037,8506442525,www.fsu.edu,23439,14308,5967,52,48,550,640,560,650,555,645,,,,,
Fontbonne University,,85%,NR,NR,20,25,55%,Private,14,Suburb,2967," $30,475 "," $30,475 "," $10,457 ",6800 Wydown Blvd,Saint Louis,MO,63105-3098,3148623456,www.fontbonne.edu,517,442,180,0,85,,,,,0,0,19,25,18,25,
Fordham University,FU737,50%,1710,2010,26,30,78%,Private,13,City,14666," $53,924 "," $53,924 "," $15,738 ",441 E Fordham Rd,Bronx,NY,10458,7188171000,www.fordham.edu,24557,12181,1835,90,29,570,670,570,670,570,670,26,32,24,29,
Fort Hays State University,,92%,NR,NR,18,24,47%,Public,22,Town,10107," $14,674 "," $22,827 "," $3,268 ",600 Park St,Hays,KS,67601-4099,7856284000,www.fhsu.edu,2327,2148,869,,88,,,,,0,0,18,24,18,25,
Fort Lewis College,,68%,1380,1715,20,24,33%,Public,18,Town,3740," $17,886 "," $30,856 "," $5,569 ",1000 Rim Drive,Durango,CO,81301-3999,9702477010,www.fortlewis.edu,2723,1845,802,28,87,470,575,460,570,450,570,19,25,18,24,
Fort Valley State University,,47%,1101,1531.5,16,23,34%,Public,22,Rural,3106," $17,890 "," $29,504 "," $4,725 ",1005 State University Dr,Fort Valley,GA,31030-4313,4788256211,www.fvsu.edu,5526,2608,1049,68,32,365,541,369,480,367,510.5,16,19,17,23,
Framingham State College,,64%,1418,1680,20,23,49%,Public,17,City,6086," $18,938 "," $25,018 "," $3,390 ",100 State Street,Framingham,MA,01701-9101,5086201220,www.framingham.edu,3341,2145,725,96,4,468,560,480,560,470,560,18,23,18,24,
Francis Marion University,,56%,1260,1560,18,22,39%,Public,16,Rural,4020," $24,772 "," $32,397 "," $7,211 ",4822 East Palmetto Street,Florence,SC,29506,8436611362,www.fmarion.edu,3432,1930,794,64,34,430,530,430,530,400,500,16,22,16,22,
Franciscan University of Steubenville,,77%,1550,1910,23,28,70%,Private,17,City,2449," $30,300 "," $30,300 "," $6,917 ",1235 University Blvd,Steubenville,OH,43952-1763,7402833771,www.franciscan.edu,1432,1096,445,71,54,540,650,500,630,510,630,23,31,21,27,
Franklin and Marshall College,,48%,NR,NR,NR,NR,79%,Private,10,Suburb,2164," $52,060 "," $52,060 "," $20,198 ",College Ave,Lancaster,PA,17604-3003,7172913911,WWW.FANDM.EDU,5256,2548,633,,,,,,,0,0,,,,,
Franklin College,,66%,1360,1660,19,24,56%,Private,13,Rural,1153," $33,360 "," $33,360 "," $12,289 ",101 Branigin Blvd,Franklin,IN,46131-2623,3177388000,www.franklincollege.edu,1811,1204,345,93,2,450,550,470,570,440,540,18,24,18,24,
Franklin Pierce University,,81%,1310,1610,18,21,49%,Private,18,Rural,2535," $40,984 "," $40,984 "," $13,041 ",40 University Drive,Rindge,NH,03461-0060,6038994000,www.franklinpierce.edu,2746,2219,437,96,10,440,540,440,540,430,530,17,22,17,22,
Frostburg State University,,59%,1280,1580,17,22,48%,Public,17,Suburb,5215," $17,004 "," $27,200 "," $5,535 ",101 Braddock Road,Frostburg,MD,21532-1099,3016874000,www.frostburg.edu,4476,2624,1032,97,13,430,530,430,530,420,520,16,22,16,22,
Furman University,FU1096,57%,1760,2050,26,30,85%,Private,11,Suburb,2977," $49,159 "," $49,159 "," $20,807 ",3300 Poinsett Highway,Greenville,SC,29613-6162,8642942000,www.furman.edu,4414,2531,755,88,53,590,690,590,680,580,680,26,32,25,30,
Gallaudet University,,69%,NR,NR,15,20,29%,Private,5,City,1389," $26,500 "," $26,500 "," $14,290 ",800 Florida Ave  NE,Washington,DC,20002-3695,2026515000,www.gallaudet.edu,413,283,211,0,95,,,,,0,0,14,18,15,20,
Gannon University,,84%,1335,1725,19,26,64%,Private,14,City,4197," $37,457 "," $37,457 "," $12,906 ",109 W Sixth St,Erie,PA,16541-0001,8148717000,www.gannon.edu,3019,2527,660,80,40,440,560,450,590,445,575,18,26,18,26,
Gardner-Webb University,GU839,42%,1290,1665,18,23,52%,Private,15,Rural,4070," $30,000 "," $30,000 "," $11,433 ",Main St,Boiling Springs,NC,28017-0997,7044062361,www.gardner-webb.edu,3270,1359,449,88,31,440,560,420,550,430,555,,,,,
Geneva College,,84%,1390,1780,19,25,59%,Private,15,Suburb,1951," $31,220 "," $31,220 "," $12,027 ",3200 College Ave,Beaver Falls,PA,15010-3599,7248465100,www.geneva.edu,1114,932,338,87,12,470,600,470,600,450,580,18,26,17,25,
George Fox University,,69%,1455,1830,21,26,62%,Private,12,Town,3383," $36,700 "," $36,700 "," $11,538 ",414 N Meridian St,Newberg,OR,97132,5035388383,www.georgefox.edu,1528,1052,413,86,35,490,610,480,610,485,610,19,26,20,27,
George Mason University,GMU1244,63%,1545,1875,23,27,61%,Public,15,Suburb,30613," $19,314 "," $35,298 "," $6,598 ",4400 University Dr,Fairfax,VA,22030-4444,7039931000,www.gmu.edu,13732,8691,2656,78,9,510,620,520,630,515,625,22,28,21,26,
George Washington University,,37%,1790,2070,26,30,81%,Private,14,City,25116," $54,125 "," $54,125 "," $22,302 ",2121 I Street  NW,Washington,DC,20052,2029941000,www.gwu.edu,19430,7261,2461,76,33,590,680,600,690,600,700,26,32,25,30,
Georgetown University,GU168,19%,1965,2235,26,33,93%,Private,11,City,15318," $54,954 "," $54,954 "," $19,634 ",37th and O St NW,Washington,DC,20057,2026870100,www.georgetown.edu,18696,3514,1571,92,4,650,740,660,750,655,745,25,34,26,32,
Georgia College & State University,,62%,1550,1800,22,25,42%,Public,18,Town,6506," $18,148 "," $31,780 "," $5,555 ",231 W Hancock Street,Milledgeville,GA,31061,4784452770,WWW.GCSU.EDU,4090,2522,1204,85,46,520,600,520,600,510,600,22,26,21,26,
Georgia Institute of Technology-Main Campus,GIOT209,61%,1840,2100,27,31,77%,Public,18,Suburb,19413," $18,210 "," $36,420 "," $7,427 ",225 North Ave,Atlanta,GA,30332-0530,4048942000,www.gatech.edu,10258,6248,2640,94,46,600,690,650,730,590,680,26,31,28,33,
Georgia Southern University,GSU210,50%,1530,1785,21,24,45%,Public,21,Rural,17764," $17,640 "," $29,616 "," $4,760 ",Hwy 301 South,Statesboro,GA,30460,9124785391,www.georgiasouthern.edu,8620,4335,3131,82,42,510,590,510,600,510,595,20,25,20,25,
Georgia Southwestern State University,,70%,1320,1590,18,21,33%,Public,20,Town,2717," $17,366 "," $25,882 "," $5,205 ",800 Georgia Southwestern State University Dr.,Americus,GA,31709-4693,2299281279,,1347,944,490,62,24,440,530,440,530,440,530,17,21,17,21,
Georgia State University,GSU211,41%,1450,1740,20,24,44%,Public,19,City,28229," $22,146 "," $40,356 "," $4,979 ",33 gilmer st,Atlanta,GA,30303-3083,4044132000,www.gsu.edu,9856,4039,2757,92,32,490,580,480,590,480,570,19,24,19,25,
Georgian Court University,,62%,NR,NR,NR,NR,64%,Private,13,Suburb,3189," $39,426 "," $39,426 "," $16,259 ",900 Lakewood Ave,Lakewood,NJ,08701-2697,7329872200,www.georgian.edu,1005,621,250,,,,,,,0,0,,,,,
Gettysburg College,,40%,1830,2070,27,30,83%,Private,11,Town,2480," $49,500 "," $49,500 "," $20,776 ",300 N Washington St,Gettysburg,PA,17325-1486,7173376000,WWW.GETTYSBURG.EDU,5448,2201,739,83,9,610,690,610,690,610,690,,,,,
Glenville State College,,100%,1110,1425,17,22,20%,Public,17,Rural,1443," $16,928 "," $23,742 "," $8,057 ",200 High Street,Glenville,WV,26351-1292,3044627361,www.glenville.edu,927,926,325,17,83,370,480,370,470,370,475,16,22,16,20,
Goldey-Beacom College,,67%,NR,NR,NR,NR,41%,Private,26,Suburb,1340," $31,380 "," $31,380 "," $9,435 ",4701 Limestone Rd,Wilmington,DE,19808,3022256265,www.gbc.edu,442,294,99,,,,,,,0,0,,,,,
Gonzaga University,,78%,1635,1920,24,29,81%,Private,16,City,7272," $41,721 "," $41,721 "," $12,729 ",E 502 Boone Ave,Spokane,WA,99258-0001,5093284220,www.gonzaga.edu,5026,3921,1107,88,53,540,630,550,650,545,640,,,,,
Gordon College,,66%,1580,1930,24,28,75%,Private,13,Suburb,1717," $38,272 "," $38,272 "," $12,025 ",255 Grapevine Rd,Wenham,MA,1984,9789272300,www.gordon.edu,1664,1106,382,87,27,520,650,500,640,560,640,,,,,
Goucher College,,64%,1550,1930,23,27,64%,Private,9,City,2319," $46,193 "," $46,193 "," $17,847 ",1021 Dulaney Valley Rd,Baltimore,MD,21204-2794,4103376000,WWW.GOUCHER.EDU,4077,2591,360,86,26,530,660,490,620,530,650,23,31,20,26,
Grambling State University,GSU431,33%,1140,1425,16,19,36%,Public,18,Town,5253," $16,022 "," $21,908 "," $5,345 ",403 Main Street,Grambling,LA,71245,3182473811,www.gram.edu,4399,1463,931,28,80,380,470,380,480,380,475,15,20,16,18,
Grand Canyon University,,100%,NR,NR,NR,NR,49%,Private,47,City,22025," $33,210 "," $33,210 "," $5,116 ",3300 W Camelback Rd,Phoenix,AZ,85017,8008009776,www.gcu.edu,5851,5850,2252,,,,,,,0,0,,,,,
Grand Valley State University,,81%,1480,1840,22,26,56%,Public,18,Suburb,23892," $19,480 "," $23,794 "," $4,671 ",1 Campus Dr,Allendale,MI,49401-9403,6163312020,www.gvsu.edu,13055,10521,3727,5,99,490,610,520,640,470,590,21,27,21,26,
Green Mountain College,,62%,1430,1780,NR,NR,47%,Private,14,Rural,867," $39,040 "," $39,040 "," $14,249 ",One Brennan Circle,Poultney,VT,05764-1199,8022878000,www.greenmtn.edu,1496,923,221,73,0,490,610,460,570,480,600,,,,,
Greensboro College,,58%,1230,1630,16,20,41%,Private,11,City,1279," $34,170 "," $34,170 "," $13,788 ",815 W Market St,Greensboro,NC,27401-1875,3362727102,www.greensborocollege.edu,1796,1045,240,92,23,410,530,410,570,410,530,15,21,16,20,
Greenville College,,78%,1255,1695,20,27,50%,Private,15,Town,1618," $31,163 "," $31,163 "," $10,888 ",315 E. College Ave,Greenville,IL,62246,6186642800,www.greenville.edu,932,727,253,19,87,435,585,410,560,410,550,20,28,19,26,
Grinnell College,,34%,1830,2190,28,32,85%,Private,8,Town,1678," $47,712 "," $47,712 "," $21,192 ",1121 Park Street,Grinnell,IA,50112-1690,6412694000,www.grinnell.edu,3291,1108,378,56,44,600,730,620,730,610,730,29,34,26,32,
Grove City College,,64%,1696.5,2050.5,25,30,84%,Private,15,Town,2499," $21,264 "," $21,264 "," $4,784 ",100 Campus Dr,Grove City,PA,16127-2104,7244582000,www.gcc.edu,1761,1123,633,88,42,563,685,568,682,565.5,683.5,25,31,25,30,
Guilford College,,62%,1360,1780,20,26,58%,Private,15,City,2641," $38,210 "," $38,210 "," $12,046 ",5800 W Friendly Ave,Greensboro,NC,27410-4108,3363162000,www.guilford.edu,3780,2356,448,87,22,460,600,460,590,440,590,,,,,
Gustavus Adolphus College,,74%,1717.5,2055,24,29,83%,Private,11,Town,2503," $41,660 "," $41,660 "," $13,775 ",800 West College Avenue,Saint Peter,MN,56082-1498,5079338000,WWW.GUSTAVUS.EDU,2928,2153,619,11,78,555,690,590,680,572.5,685,23,30,24,29,
Gwynedd Mercy College,,60%,1335,1620,NR,NR,64%,Private,13,Suburb,2548," $35,500 "," $35,500 "," $11,557 ",1325 Sumneytown Pike,Gwynedd Valley,PA,19437-0901,2156467300,www.gmc.edu,2043,1219,346,98,0,450,550,440,530,445,540,,,,,
Hamilton College,,30%,1965,2205,29,32,91%,Private,9,Suburb,1872," $51,660 "," $51,660 "," $22,795 ",198 College Hill Rd,Clinton,NY,13323,3158594011,www.hamilton.edu,4661,1390,466,60,16,660,740,650,730,655,735,,,,,
Hamline University,,75%,1465,1820,21,27,71%,Private,15,City,4876," $39,417 "," $39,417 "," $13,481 ",1536 Hewitt Avenue,Saint Paul,MN,55104-1284,6515232800,www.hamline.edu,2176,1637,400,11,91,505,630,480,590,480,600,20,28,20,27,
Hampden-Sydney College,,56%,1460,1790,21,26,62%,Private,10,Rural,1120," $42,342 "," $42,342 "," $12,793 ",College Road,Hampden-Sydney,VA,23943-0128,4342236000,www.hsc.edu,2270,1272,295,100,10,500,600,500,610,460,580,19,26,20,26,
Hampton University,HU1245,0%,NR,NR,NR,NR,51%,Private,13,City,5427," $29,074 "," $29,074 "," $4,946 ",,Hampton,VA,23668-0099,7577275000,www.hamptonu.edu,,,,,,,,,,0,0,,,,,
Hanover College,,61%,1460,1790,22,28,59%,Private,10,Town,926," $36,650 "," $36,650 "," $15,427 ",359 LaGrange Road,Hanover,IN,47243,8128667000,www.hanover.edu,3019,1830,293,63,36,490,600,500,620,470,570,,,,,
Hardin-Simmons University,,38%,1380,1730,20,25,50%,Private,14,City,2387," $28,952 "," $28,952 "," $8,318 ",2200 Hickory,Abilene,TX,79698-0001,3256701000,www.hsutx.edu,1677,634,409,76,71,450,560,480,600,450,570,19,25,19,25,
Harding University,,73%,1450,1870,21,28,61%,Private,18,Town,6446," $23,236 "," $23,236 "," $7,821 ",915 E. Market Ave.,Searcy,AR,72143,5012794000,www.harding.edu,1970,1430,955,39,79,490,630,490,640,470,600,21,29,20,27,
Hartwick College,,91%,1450,1778,23,27,55%,Private,11,Town,1493," $43,805 "," $43,805 "," $16,478 ",One Hartwick Drive,Oneonta,NY,13820-4020,6074314000,www.hartwick.edu/x12933.xml,2385,2177,402,63,20,480,598,490,600,480,580,,,,,
Harvard University,HU487,7%,2070,2350,31,34,98%,Private,7,City,26496," $52,000 "," $52,000 "," $28,866 ",Massachusetts Hall,Cambridge,MA,2138,6174951000,www.harvard.edu/,29025,2088,1663,96,29,690,780,690,790,690,780,32,35,31,35,
Harvey Mudd College,,32%,2083,2330,32,35,90%,Private,8,Suburb,738," $52,737 "," $52,737 "," $19,694 ",301 Platt Blvd.,Claremont,CA,91711,9096218000,www.hmc.edu,2343,751,207,97,35,680,770,740,790,663,770,32,35,34,36,
Haverford College,,25%,1960,2230,NR,NR,94%,Private,8,Suburb,1169," $53,637 "," $53,637 "," $23,271 ",370  Lancaster Ave,Haverford,PA,19041-1392,6108961000,www.haverford.edu,3403,862,323,95,0,660,740,640,740,660,750,,,,,
Hawaii Pacific University,,82%,1270,1620,18,23,41%,Private,11,City,8293," $28,664 "," $28,664 "," $8,613 ",1166 Fort Street Mall  Suite 203,Honolulu,HI,96813-2785,8085440200,www.hpu.edu,2871,2350,616,73,28,430,550,420,530,420,540,17,24,17,22,
Heidelberg University,,69%,1310,1680,18,24,53%,Private,16,Town,1546," $32,714 "," $32,714 "," $10,851 ",310 E Market St,Tiffin,OH,44883-2462,4194482000,www.heidelberg.edu,2209,1527,380,25,93,420,560,450,560,440,560,17,23,17,24,
Henderson State University,,31%,1320,1710,19,26,33%,Public,16,Town,3652," $15,881 "," $19,961 "," $5,824 ",1100 Henderson Street,Arkadelphia,AR,71999-0001,8702305000,www.hsu.edu,2361,739,739,6,94,420,530,460,610,440,570,19,27,17,25,
Hendrix College,,81%,1695,2055,27,32,70%,Private,12,Town,1350," $42,662 "," $42,662 "," $16,529 ",1600 Washington Ave,Conway,AR,72032-3080,5013296811,www.hendrix.edu,1572,1278,412,57,79,580,690,550,680,565,685,28,34,25,30,
High Point University,,71%,1460,1740,20,25,56%,Private,16,City,3409," $35,500 "," $35,500 "," $5,867 ",833 Montlieu Ave,High Point,NC,27262-3598,3368419000,WWW.HIGHPOINT.EDU,4529,3228,1030,91,42,490,580,480,580,490,580,20,25,19,24,
Hilbert College,,0%,NR,NR,NR,NR,48%,Private,11,Suburb,996," $27,190 "," $27,190 "," $7,197 ",5200 S Park Ave,Hamburg,NY,14075-1597,7166497900,www.hilbert.edu,,,,,,,,,,0,0,,,,,
Hiram College,,74%,1350,1770,19,25,62%,Private,13,Rural,1360," $39,140 "," $39,140 "," $17,450 ",Hinsdale Hall Third Floor,Hiram,OH,44234-0067,3305693211,WWW.HIRAM.EDU,1605,1195,330,34,78,450,590,450,590,450,590,19,26,18,25,
Hobart William Smith Colleges,,56%,NR,NR,NR,NR,73%,Private,11,Town,2078," $52,259 "," $52,259 "," $20,391 ",,Geneva,NY,14456,3157813000,WWW.HWS.EDU,5206,2934,545,,,,,,,0,0,,,,,
Hofstra University,HU738,53%,1635,1905,23,27,54%,Private,14,Suburb,12333," $45,282 "," $45,282 "," $12,635 ",100 Hofstra University,Hempstead,NY,11549,5164636600,www.hofstra.edu,20071,10646,1655,69,20,540,630,550,640,545,635,,,,,
Hollins University,,88%,1450,1850,22,28,59%,Private,10,Suburb,1058," $40,955 "," $40,955 "," $14,389 ",7916 Williamson Rd NW,Roanoke,VA,24020,5403626000,www.hollins.edu,712,625,199,80,37,510,660,450,570,490,620,,,,,
Holy Family University,,74%,1260,1530,19,21,59%,Private,12,City,3498," $35,018 "," $35,018 "," $12,184 ",9801 Frankford Avenue,Philadelphia,PA,19114-2009,2156377700,www.holyfamily.edu,1241,913,380,98,2,420,510,420,510,420,510,,,,,
Hood College,,72%,1440,1790,20,25,65%,Private,13,City,2533," $40,810 "," $40,810 "," $14,004 ",401 Rosemont Ave,Frederick,MD,21701,3016633131,www.hood.edu,1622,1166,251,95,19,490,600,470,590,480,600,20,25,19,26,
Hope College,,84%,1590,1995,23,29,73%,Private,11,City,3238," $35,820 "," $35,820 "," $10,370 ",141 E 12th St,Holland,MI,49423,6163957000,www.hope.edu,2941,2483,803,18,90,540,670,520,660,530,665,22,30,22,28,
Houston Baptist University,,42%,1380,1720,20,25,45%,Private,14,City,2564," $32,060 "," $32,060 "," $9,923 ",7502 Fondren Rd,Houston,TX,77074-3298,2816493000,www.hbu.edu,8119,3431,554,81,18,460,570,470,590,450,560,19,24,18,24,
Howard Payne University,,59%,1275,1680,18,24,41%,Private,12,Town,1388," $27,508 "," $27,508 "," $8,459 ",1000 Fisk St.,Brownwood,TX,76801-2794,3256462502,www.hputx.edu,907,535,218,68,55,410,570,440,550,425,560,18,25,18,25,
Howard University,HU169,54%,1330,1980,19,29,65%,Private,8,City,10320," $27,985 "," $27,985 "," $6,825 ",2400 Sixth St NW,Washington,DC,20059-0001,2028066100,www.howard.edu,9209,4976,1598,82,40,460,660,440,660,430,660,17,30,18,29,
Humboldt State University,,75%,1395,1755,19,25,42%,Public,20,Town,7800," $19,465 "," $30,625 "," $7,214 ",1 Harpst Street,Arcata,CA,95521-8299,7078263011,www.humboldt.edu,9626,7264,1191,89,28,470,590,460,580,465,585,19,26,18,25,
Huntingdon College,,67%,1330,1730,19,24,55%,Private,14,City,1082," $30,390 "," $30,390 "," $10,047 ",1500 East Fairview Avenue,Montgomery,AL,36106-2148,3348334222,www.huntingdon.edu,1138,757,236,14,95,450,610,430,560,450,560,20,25,17,24,
Husson University,ISU259,87%,1220,1520,16,22,35%,Private,28,City,2672," $22,684 "," $22,684 "," $7,190 ",One College Circle,Bangor,ME,04401-2999,2079417000,www.husson.edu,1280,1113,533,95,7,410,510,420,510,390,500,16,23,17,23,
Idaho State University,,0%,NR,NR,NR,NR,26%,Public,14,City,12653," $15,092 "," $24,894 "," $4,336 ",921 S 7th Ave,Pocatello,ID,83209,2082823620,www.isu.edu,,,,,,,,,,0,0,,,,,
Illinois College,,54%,NR,NR,21,26,63%,Private,11,Town,898," $31,200 "," $31,200 "," $11,162 ",1101 W College Ave,Jacksonville,IL,62650-2299,2172453000,www.ic.edu,1314,712,225,4,94,,,,,0,0,20,27,20,27,
Illinois State University,ISU268,62%,NR,NR,22,26,70%,Public,20,City,20799," $22,751 "," $28,781 "," $6,870 ",North and School Streets,Normal,IL,61790-1000,3094382111,www.ilstu.edu,14114,8711,3033,0,99,,,,,0,0,22,27,21,27,
Illinois Wesleyan University,,54%,1755,2100,26,30,83%,Private,11,City,2125," $43,188 "," $43,188 "," $14,928 ",1312 N Park St,Bloomington,IL,61702-2900,3095561000,www.iwu.edu,3321,1785,519,23,94,570,680,600,720,585,700,26,32,25,30,
Immaculata University,,80%,1260,1580,NR,NR,47%,Private,12,Suburb,4179," $42,860 "," $42,860 "," $10,551 ",1145 King Rd,Immaculata,PA,19345-0702,6106474400,www.immaculata.edu,1459,1165,239,99,0,420,520,410,530,430,530,,,,,
